Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,vapourism.co.uk,vapeuk.co.uk,vapeshop.co.uk,totallywicked-eliquid.co.uk,vapourism.co.uk (pages),vapeuk.co.uk (pages),vapeshop.co.uk (pages),totallywicked-eliquid.co.uk (pages),Results
vapeuk,"Commercial, Navigational",9900,100,0.00,0.00,0,1,26,8,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,97900000
electronic cigarette,Informational,8100,59,0.00,0.00,0,12,95,25,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,10
elfbar,Navigational,8100,46,0.00,0.00,0,4,7,3,,https://vapeuk.co.uk/vendors/elf-bar,https://www.vapeshop.co.uk/collections/elf-bar,https://www.totallywicked-eliquid.co.uk/brands/elf-bar,7740000
elux liquid,"Commercial, Informational",8100,19,1.53,0.63,0,11,53,19,,https://vapeuk.co.uk/elux-legend-straight-tobacco-nic-salt,https://www.vapeshop.co.uk/collections/elux,https://www.totallywicked-eliquid.co.uk/,1670000
hayati vape,Informational,8100,16,0.00,0.00,0,8,1,29,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/hayati,https://www.totallywicked-eliquid.co.uk/,10
liquid,"Commercial, Informational",8100,58,3.49,0.01,0,40,36,9,,https://vapeuk.co.uk/e-liquids/vape-uk-e-liquids,https://www.vapeshop.co.uk/collections/new-eliquid,https://www.totallywicked-eliquid.co.uk/,1200000000
nicotine free vape,Informational,8100,18,0.00,0.00,0,7,64,19,,https://vapeuk.co.uk/ske-bar-600-zero-nicotine-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,10
vape shops,Commercial,8100,95,0.00,0.00,0,4,2,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,33700000
vaporesso pods,"Commercial, Informational",8100,14,0.00,0.00,0,7,15,82,,https://vapeuk.co.uk/vaporesso-xros-corex-2-0-replacement-pods,https://www.vapeshop.co.uk/collections/vaporesso-vape-pods,https://www.totallywicked-eliquid.co.uk/,7100000
ivg vape,Navigational,6600,28,0.00,0.00,0,2,83,3,,https://vapeuk.co.uk/vendors/i-vg,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,2220000
vape kits,"Commercial, Informational",6600,39,0.00,0.00,0,2,6,5,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/collections/vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,14000000
vaperesso,Navigational,6600,19,0.00,0.00,0,2,9,15,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,10
vaporesso xros 3,Informational,6600,16,0.00,0.00,0,15,9,92,,https://vapeuk.co.uk/vaporesso-xros-3-mini-pod-kit,https://www.vapeshop.co.uk/products/vaporesso-xros-3-vape-kit,https://www.totallywicked-eliquid.co.uk/,2470000
ivg air pods,"Commercial, Informational",5400,15,0.00,1.00,0,3,33,5,,https://vapeuk.co.uk/ivg-air-4-in-1-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/ivg-air,https://www.totallywicked-eliquid.co.uk/vape-pods/ivg-pre-filled-vape-pods,1080000
lost mary bm6000 refill,"Commercial, Informational",5400,10,1.52,0.00,0,4,20,2,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pods-refill-container,https://www.vapeshop.co.uk/products/blueberry-lost-mary-bm6000-refill-pack,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000-refill,10
lost mary bm6000 refill pods,"Commercial, Informational",5400,10,0.00,0.00,0,5,11,2,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pods-refill-container,https://www.vapeshop.co.uk/products/blueberry-lost-mary-bm6000-refill-pack,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000-refill,10
smok vape,"Commercial, Informational",5400,17,0.00,0.00,0,5,23,14,,https://vapeuk.co.uk/vendors/smok,https://www.vapeshop.co.uk/collections/smok-vape-kits,https://www.totallywicked-eliquid.co.uk/,10
vape kit,Informational,5400,34,0.00,0.00,0,2,4,6,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/collections/vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,10
vape online store,Navigational,5400,93,0.00,0.00,0,4,21,6,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,218000000
vape pods,Informational,5400,22,0.00,0.00,0,2,28,6,,https://vapeuk.co.uk/vape-pods/refillable-vape-pods,https://www.vapeshop.co.uk/collections/replacement-pods-capsules,https://www.totallywicked-eliquid.co.uk/vape-pods,65900000
vuse go,"Informational, Transactional",5400,25,1.27,0.05,0,20,19,62,,https://vapeuk.co.uk/vuse-go-disposable-kit,https://www.vapeshop.co.uk/products/vuse-go-reload-vape-pen,https://www.totallywicked-eliquid.co.uk/,2770000
vuse vape,"Navigational, Transactional",5400,28,0.00,0.00,0,18,6,55,,https://vapeuk.co.uk/vendors/vuse,https://www.vapeshop.co.uk/collections/vuse,https://www.totallywicked-eliquid.co.uk/,10
e cigarettes juice,"Commercial, Informational",4400,40,0.00,0.00,0,1,60,4,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,10
electronic cigarette company,Navigational,4400,67,0.00,0.00,0,32,53,6,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,9
ivg pro refills,Commercial,4400,10,0.00,1.00,0,16,8,5,,https://vapeuk.co.uk/ivg-pro-12-prefilled-vape-pods-refill-containers,https://www.vapeshop.co.uk/collections/ivg-pro-12,https://www.totallywicked-eliquid.co.uk/ivg-pro-12-refill,10
lost mary 6000,Informational,4400,22,0.00,0.00,0,1,23,4,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000,25700000
lost mary bm600,Informational,4400,16,0.00,0.00,0,2,11,4,,https://vapeuk.co.uk/lost-mary-bm600-prefilled-pod-kit,https://www.vapeshop.co.uk/products/lost-mary-bm600-prefilled-pod-kit,https://www.totallywicked-eliquid.co.uk/lost-mary-bm600-prefilled-pod-kit,10
no nicotine vape,Informational,4400,16,0.00,0.00,0,1,67,47,,https://vapeuk.co.uk/ske-bar-600-zero-nicotine-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,10
rechargeable vapes,Informational,4400,19,0.00,0.00,0,11,4,10,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/blogs/news/disposable-vapes-verses-rechargeable-vapes,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/vape-pod-kits/refillable-pod-vape-kits,18000000
titan vape,Informational,4400,20,0.00,0.00,0,10,6,13,,https://vapeuk.co.uk/titan-x-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/titan-e-liquids,https://www.totallywicked-eliquid.co.uk/e-liquids/ranges/titan,4250000
vape flavours,Informational,4400,16,0.00,0.00,0,19,4,5,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/pages/e-liquid-flavours,https://www.totallywicked-eliquid.co.uk/e-liquids/flavour-types,43300000
vape pen,Commercial,4400,28,0.00,0.00,0,35,62,4,,https://vapeuk.co.uk/smok-vape-pen-v2-kit-1,https://www.vapeshop.co.uk/collections/vape-pens,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/pen-style-vape-kits,65500000
vape store near me,Transactional,4400,55,0.00,0.00,0,5,7,6,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/stores,34800000
vapes near me,Transactional,4400,41,0.00,0.00,0,7,5,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/,240000000
vapes uk,"Commercial, Informational",4400,92,0.00,0.00,0,1,27,13,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,18000000
vapeshop,"Commercial, Navigational",4400,73,0.00,0.00,0,4,1,9,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,10
vapestore uk,Navigational,4400,96,0.00,0.00,0,3,16,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,1260000
vaporesso xros,Commercial,4400,21,0.00,0.00,0,9,38,89,,https://vapeuk.co.uk/vaporesso-xros-4-pod-vape-kit,https://www.vapeshop.co.uk/collections/vaporesso-xros,https://www.totallywicked-eliquid.co.uk/,2520000
vapour near me,Transactional,4400,33,0.00,0.00,0,12,2,4,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/vape-shop-outlet-hinckley,https://www.totallywicked-eliquid.co.uk/stores,395000000
voopoo,Navigational,4400,26,0.00,0.00,0,11,20,82,,https://vapeuk.co.uk/vendors/voopoo,https://www.vapeshop.co.uk/collections/voopoo,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,6430000
aspire vape,Informational,3600,31,0.00,0.00,0,7,15,71,,https://vapeuk.co.uk/vendors/aspire,https://www.vapeshop.co.uk/collections/aspire-vape-kits,https://www.totallywicked-eliquid.co.uk/,5380000
best vape,Commercial,3600,35,0.00,0.00,0,2,77,14,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/pages/vape-brands,https://www.totallywicked-eliquid.co.uk/vaped/5-best-vape-starter-kits-for-beginners/,206000000
crystal vapes,"Commercial, Informational",3600,14,0.00,0.00,0,5,15,6,,https://vapeuk.co.uk/vendors/ske,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/vaped/the-ultimate-guide-to-crystal-bar-vapes/,10
ecig,"Commercial, Informational",3600,93,0.00,0.00,0,31,66,8,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,19300000
elf bar af5000,"Informational, Transactional",3600,12,0.00,0.00,0,4,7,8,,https://vapeuk.co.uk/elf-bar-af5000-disposable-vape-kit,https://www.vapeshop.co.uk/products/melon-ice-elf-bar-af5000-vape-kit,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/elf-bar-pod-kits,285000
elf bar pods,"Commercial, Informational",3600,13,0.00,0.00,0,3,17,6,,https://vapeuk.co.uk/elf-bar-elfa-pro-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/elf-bar-elfa,https://www.totallywicked-eliquid.co.uk/vape-pods/elf-bar-pre-filled-pods,10900000
eliquid,Commercial,3600,53,0.00,0.00,0,8,32,5,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/eliquid,https://www.totallywicked-eliquid.co.uk/,10
elux vape,Informational,3600,28,0.00,0.00,0,9,54,49,,https://vapeuk.co.uk/elux-legend-banana-ice-nic-salt,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,1770000
elux vape juice,"Commercial, Informational",3600,26,0.00,0.00,0,9,51,30,,https://vapeuk.co.uk/elux-legend-grape-nic-salt,https://www.vapeshop.co.uk/collections/elux-eliquid,https://www.totallywicked-eliquid.co.uk/e-liquids,1650000
geek vape,Navigational,3600,28,0.00,0.00,0,4,50,92,,https://vapeuk.co.uk/vendors/geekvape,https://www.vapeshop.co.uk/collections/geekvape-vape-kits,https://www.totallywicked-eliquid.co.uk/,15100000
gotek,"Commercial, Informational",3600,10,0.00,0.06,0,9,18,29,,https://vapeuk.co.uk/aspire-gotek-nano-pod-vape-kit,https://www.vapeshop.co.uk/products/aspire-gotek-x-pod-kit,https://www.totallywicked-eliquid.co.uk/,9
hayati twist,Informational,3600,19,0.00,0.05,0,21,6,91,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,https://www.vapeshop.co.uk/products/fruit-twist-hayati-pro-max-refill-pack,https://www.totallywicked-eliquid.co.uk/,1290000
ivg air,Informational,3600,24,0.00,0.31,0,4,14,20,,https://vapeuk.co.uk/ivg-air-4-in-1-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/ivg-air,https://www.totallywicked-eliquid.co.uk/brands/ivg,3720000
juul pods,"Navigational, Transactional",3600,22,0.00,0.00,0,31,24,53,,https://vapeuk.co.uk/vape-pods/refillable-vape-pods,https://www.vapeshop.co.uk/collections/juul,https://www.totallywicked-eliquid.co.uk/,10
lost mary flavours,Informational,3600,16,0.00,0.00,0,14,22,1,,https://vapeuk.co.uk/vendors/lost-mary,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,https://www.totallywicked-eliquid.co.uk/brands/lost-mary,4720000
nic salts,Informational,3600,41,0.00,0.00,0,1,16,10,,https://vapeuk.co.uk/e-liquids/nicotine-salt-e-liquids,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/nicotine-salts,6520000
oxva xlim,"Commercial, Informational",3600,21,0.35,0.15,0,1,17,92,,https://vapeuk.co.uk/oxva-xlim-go-pod-vape-kit,https://www.vapeshop.co.uk/collections/oxva,https://www.totallywicked-eliquid.co.uk/,0
pixl vape,Navigational,3600,14,0.00,0.00,0,5,32,7,,https://vapeuk.co.uk/pixl-duo-6k-disposable-vape-kit,https://www.vapeshop.co.uk/collections/pixl-duo-12,https://www.totallywicked-eliquid.co.uk/pixl-duo-12-kit,0
reusable vape,Commercial,3600,25,0.00,0.00,0,7,29,6,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/collections/refillable-vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,19800000
ske crystal vape,Navigational,3600,24,0.00,0.00,0,4,8,12,,https://vapeuk.co.uk/vendors/ske,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/vaped/the-ultimate-guide-to-crystal-bar-vapes/,0
uk vape,Navigational,3600,74,0.00,0.00,0,1,26,10,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,10
vape stores near me,Transactional,3600,39,0.00,0.00,0,11,4,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/stores,379000000
vapor vuse,"Informational, Transactional",3600,33,0.00,0.00,0,32,4,55,,https://vapeuk.co.uk/vendors/vuse,https://www.vapeshop.co.uk/collections/vuse,https://www.totallywicked-eliquid.co.uk/,3050000
vaporesso vape,Informational,3600,53,0.00,0.00,0,7,10,34,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,7320000
vapresso,Navigational,3600,41,0.37,0.00,0,2,20,13,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,6870000
variety vape,Navigational,3600,30,0.00,0.00,0,20,26,21,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/disposable-vape,19200000
vuse pods,Navigational,3600,27,1.49,0.56,0,39,3,56,,https://vapeuk.co.uk/vuse-pro-kit,https://www.vapeshop.co.uk/collections/vuse-eliquid-caps-cartridges,https://www.totallywicked-eliquid.co.uk/,2840000
0 nicotine vape,"Commercial, Informational",2900,18,0.00,0.00,0,2,26,27,,https://vapeuk.co.uk/disposable-vapes/nicotine-free-disposable-vape-kits,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/,48100000
crystal bar flavours,Informational,2900,11,0.00,0.00,0,6,68,9,,https://vapeuk.co.uk/blog/the-best-crystal-bar-flavours,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/vaped/the-ultimate-guide-to-crystal-bar-vapes/,9930000
e cig liquid,"Commercial, Informational",2900,55,0.00,0.00,0,1,67,9,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/new-eliquid,https://www.totallywicked-eliquid.co.uk/,11300000
elf bar vape,Informational,2900,26,0.00,0.00,0,6,14,2,,https://vapeuk.co.uk/blog/elf-bar-what-should-you-choose-after-the-disposable-vape-ban,https://www.vapeshop.co.uk/collections/elf-bar,https://www.totallywicked-eliquid.co.uk/brands/elf-bar,6720000
elux vape liquid,"Commercial, Informational",2900,19,0.00,0.00,0,10,88,24,,https://vapeuk.co.uk/elux-legend-strawberry-ice-nic-salt,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,1500000
hayati pro,"Commercial, Informational",2900,17,2.30,0.47,0,1,7,68,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/hayati,https://www.totallywicked-eliquid.co.uk/,10
hayati pro max plus pods,"Commercial, Informational",2900,9,1.71,0.82,0,4,12,85,,https://vapeuk.co.uk/hayati-pro-max-plus-6000-prefilled-pod-refill-container,https://www.vapeshop.co.uk/collections/hayati-pro-max,https://www.totallywicked-eliquid.co.uk/,10
ivg vapes,Navigational,2900,27,0.00,0.00,0,2,5,3,,https://vapeuk.co.uk/vendors/i-vg,https://www.vapeshop.co.uk/collections/ivg-pro-12,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,2540000
lost mary pods,"Commercial, Informational",2900,15,0.00,0.00,0,4,9,1,,https://vapeuk.co.uk/lost-mary-bm600-prefilled-pods,https://www.vapeshop.co.uk/collections/lost-mary-tappo,https://www.totallywicked-eliquid.co.uk/vape-pods/lost-mary-pods,29900000
online vapor,Commercial,2900,88,0.00,0.00,0,1,20,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,136000000
ske,Navigational,2900,37,1.49,0.01,0,12,41,76,,https://vapeuk.co.uk/vendors/ske,https://www.vapeshop.co.uk/collections/ske?page=14,https://www.totallywicked-eliquid.co.uk/,41000000
ske vape,Navigational,2900,28,0.00,0.00,0,3,15,4,,https://vapeuk.co.uk/vendors/ske,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/vaped/the-ultimate-guide-to-crystal-bar-vapes/,2000000
vape near me,Transactional,2900,27,0.00,0.00,0,8,20,6,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/,71300000
vape uk discount code,"Commercial, Informational",2900,13,0.00,0.00,0,3,97,63,,https://vapeuk.co.uk/special-offers,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,3660000
vapour flavours,Commercial,2900,39,0.00,0.00,0,14,4,8,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/pages/e-liquid-flavours,https://www.totallywicked-eliquid.co.uk/e-liquids,703000
voopoo vape,Informational,2900,25,0.00,0.00,0,6,18,80,,https://vapeuk.co.uk/vendors/voopoo,https://www.vapeshop.co.uk/collections/voopoo,https://www.totallywicked-eliquid.co.uk/,6070000
vuse uk,Navigational,2900,34,0.00,0.00,0,11,8,30,,https://vapeuk.co.uk/vendors/vuse,https://www.vapeshop.co.uk/collections/vuse,https://www.totallywicked-eliquid.co.uk/,1690000
88 vape liquid,Navigational,2400,22,0.00,0.00,0,36,49,27,,https://vapeuk.co.uk/e-liquids/nicotine-salt-e-liquids,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,5120000
argus vape,Informational,2400,17,0.00,0.00,0,4,13,37,,https://vapeuk.co.uk/voopoo-argus-g2-pod-vape-kit,https://www.vapeshop.co.uk/collections/voopoo,https://www.totallywicked-eliquid.co.uk/,3120000
best online vape store uk,Commercial,2400,90,0.00,0.00,0,2,17,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,18500000
coils,"Commercial, Informational",2400,21,2.46,0.00,0,9,17,12,,https://vapeuk.co.uk/vape-coils-and-pods,https://www.vapeshop.co.uk/collections/vape-coils,https://www.totallywicked-eliquid.co.uk/atomizer-heads,444000000
crystal vape flavours,Informational,2400,11,0.00,0.00,0,17,18,10,,https://vapeuk.co.uk/blog/the-best-crystal-bar-flavours,https://www.vapeshop.co.uk/collections/ske-crystal-cl6000,https://www.totallywicked-eliquid.co.uk/ske-crystal-vape-4-in-1,1680000
elfbar pods,"Informational, Transactional",2400,25,0.00,0.00,0,7,25,4,,https://vapeuk.co.uk/elf-bar-elfa-pro-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/elf-bar-elfa,https://www.totallywicked-eliquid.co.uk/vape-pods/elf-bar-pre-filled-pods,5690000
hayati pro max plus,Informational,2400,13,2.64,0.65,0,9,1,71,,https://vapeuk.co.uk/hayati-pro-max-plus-prefilled-pod-kit,https://www.vapeshop.co.uk/products/hayati-pro-max-6000-puffs,https://www.totallywicked-eliquid.co.uk/,2470000
ivg pods,Commercial,2400,16,0.00,0.99,0,7,24,2,,https://vapeuk.co.uk/ivg-air-4-in-1-prefilled-vape-pods,https://www.vapeshop.co.uk/products/blue-raspberry-ice-ivg-air-replacement-pods,https://www.totallywicked-eliquid.co.uk/vape-pods/ivg-pre-filled-vape-pods,1730000
