Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,vapourism.co.uk,vapeuk.co.uk,vapeclub.co.uk,vapestore.co.uk,vapeshop.co.uk,vapourism.co.uk (pages),vapeuk.co.uk (pages),vapeclub.co.uk (pages),vapestore.co.uk (pages),vapeshop.co.uk (pages),Results
vaporesso,Navigational,40500,65,0.37,0.00,0,3,4,10,7,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeclub.co.uk/vape-pods/vaporesso/,https://www.vapestore.co.uk/collections/brands-vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,7570000
club l,Transactional,27100,44,2.33,1.00,0,0,53,0,0,,,https://www.vapeclub.co.uk/,,,4830000000
hayati pro ultra,"Commercial, Informational",27100,10,1.51,0.23,0,1,8,22,17,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,https://www.vapeclub.co.uk/vape-kits/hayati-pods/hayati-pro-ultra-plus-vape-kit,https://www.vapestore.co.uk/collections/brands-hayati-hayati-pro-ultra-25k-prefilled-pods,https://www.vapeshop.co.uk/collections/hayati-pro-ultra-plus,10
velo,"Informational, Navigational",27100,30,5.84,1.00,0,0,8,26,17,,,https://www.vapeclub.co.uk/nicotine-pouches/velo/,https://www.vapestore.co.uk/collections/brands-velo-nicotine-pouches,https://www.vapeshop.co.uk/collections/velo-nicotine-pouches,10
dpd local,Navigational,22200,35,0.89,0.03,0,6,0,0,0,,https://vapeuk.co.uk/dpd-local-delivery-guidelines,,,,19900000
hayati pro max,"Commercial, Informational",22200,16,2.61,0.71,0,2,6,67,1,,https://vapeuk.co.uk/hayati-pro-max-plus-prefilled-pod-kit,https://www.vapeclub.co.uk/vape-kits/hayati-pods/hayati-pro-max-plus-vape-kit,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/products/hayati-pro-max-6000-puffs,5990000
iqos,Navigational,22200,56,0.00,0.00,0,25,0,0,12,,https://vapeuk.co.uk/vendors/iqos,,,https://www.vapeshop.co.uk/pages/iqos-heets,35500000
lost mary bm6000,"Commercial, Informational",22200,17,0.00,0.00,0,2,5,7,29,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/lost-mary-pods/lost-mary-bm6000-pod-kit,https://www.vapestore.co.uk/collections/brands-lost-mary-bm6000-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,10
nicotine pouches,Informational,22200,38,0.00,0.00,0,28,4,84,87,,https://vapeuk.co.uk/alternatives/nicotine-pouches,https://www.vapeclub.co.uk/nicotine-pouches/,https://www.vapestore.co.uk/collections/nicotine-pouches,https://www.vapeshop.co.uk/collections/nicotine-pouches,10
zyn,Navigational,22200,40,3.02,1.00,0,8,9,25,0,,https://vapeuk.co.uk/zyn-nicotine-pouches,https://www.vapeclub.co.uk/nicotine-pouches/zyn/,https://www.vapestore.co.uk/collections/brands-zyn-nicotine-pouches,,8220000
clear pay,Navigational,18100,37,1.22,0.04,0,64,0,86,0,,https://vapeuk.co.uk/,,https://www.vapestore.co.uk/,,20800000
disposable vape,Informational,18100,32,0.00,0.00,0,1,6,9,4,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeclub.co.uk/how-to-vape-guide/disposable-vape-ban-2025,https://www.vapestore.co.uk/collections/disposable-vape,https://www.vapeshop.co.uk/collections/disposable-vape-kits,23300000
iqos uk,Navigational,18100,41,0.00,0.00,0,10,0,0,9,,https://vapeuk.co.uk/vendors/iqos,,,https://www.vapeshop.co.uk/pages/iqos-heets,4290000
lost mary,Navigational,18100,44,0.00,0.00,0,2,14,18,17,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/lost-mary-pods/lost-mary-nera30k-fullview-pod-kit,https://www.vapestore.co.uk/collections/brands-lost-mary-vape,https://www.vapeshop.co.uk/collections/lost-mary-bm600,1140000000
nordic spirit,Navigational,18100,27,7.66,1.00,0,31,42,11,0,,https://vapeuk.co.uk/nordic-spirit-nicotine-pouches,https://www.vapeclub.co.uk/nicotine-pouches/nordic-spirit/,https://www.vapestore.co.uk/collections/brands-nordic-spirit-nicotine-pouches,,37500000
vape and go,"Commercial, Navigational",18100,86,0.00,0.00,0,11,6,8,0,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,,159000000
mtl share price,Informational,14800,24,3.80,0.00,0,0,87,0,0,,,https://www.vapeclub.co.uk/,,,22100000
pod,Informational,14800,78,1.36,0.18,0,10,25,0,0,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeclub.co.uk/vape-pods/,,,1040000000
smok,Navigational,14800,28,1.28,0.14,0,13,17,5,21,,https://vapeuk.co.uk/vendors/smok,https://www.vapeclub.co.uk/vape-kits/smok/,https://www.vapestore.co.uk/collections/brands-smok-smok-vape-kits,https://www.vapeshop.co.uk/collections/smok,724000000
tracking number royal mail tracking,Navigational,14800,66,0.39,0.01,0,50,0,0,0,,https://vapeuk.co.uk/royal-mail-tracked-24-guidelines,,,,32100000
vapestore,Navigational,14800,84,0.00,0.00,0,9,4,1,32,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,3060000
vapory near me,Transactional,14800,54,0.00,0.00,0,35,43,13,6,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,5800000
88 vape,Navigational,12100,27,0.00,0.00,0,71,5,9,0,,https://vapeuk.co.uk/ske-bar-15k-prefilled-pod-kit,https://www.vapeclub.co.uk/e-liquids/88vape/,https://www.vapestore.co.uk/collections/brands-88vape,,20700000
cape stores,Commercial,12100,97,0.00,0.00,0,5,4,1,6,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,31300000
cigarettes vapor,Commercial,12100,78,0.00,0.00,0,12,61,0,0,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,,,5380000
disposable vapes banned,Informational,12100,52,0.00,0.00,0,67,34,0,0,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeclub.co.uk/how-to-vape-guide/disposable-vape-ban-2025,,,757000
e on next,Navigational,12100,53,1.52,0.26,0,81,50,0,0,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,,,8210000000
elf bar,Informational,12100,14,0.00,0.00,0,7,5,4,0,,https://vapeuk.co.uk/vendors/elf-bar,https://www.vapeclub.co.uk/disposable-vape/guides/why-are-elf-bars-so-popular,https://www.vapestore.co.uk/collections/brands-elf-bar-vape,,10
ivg,Navigational,12100,24,0.00,0.04,0,2,3,5,12,,https://vapeuk.co.uk/vendors/i-vg,https://www.vapeclub.co.uk/vape-pods/ivg-vape/,https://www.vapestore.co.uk/collections/brands-ivg-vape,https://www.vapeshop.co.uk/products/ivg-air-4-in-1-vape-kit,6780000
ivg 2400,"Informational, Transactional",12100,20,0.00,0.65,0,1,7,6,17,,https://vapeuk.co.uk/ivg-2400-prefilled-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/ivg-vape/ivg-2400-pod-kit,https://www.vapestore.co.uk/collections/brands-ivg-2400-prefilled-pod-kits,https://www.vapeshop.co.uk/collections/ivg-2400,1360000
lost mary vape,"Commercial, Informational",12100,16,0.00,0.00,0,6,2,12,19,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/lost-mary-pods/,https://www.vapestore.co.uk/collections/brands-lost-mary-vape,https://www.vapeshop.co.uk/collections/lost-mary-bm600,10
pixl,Navigational,12100,35,0.00,0.00,0,55,6,80,0,,https://vapeuk.co.uk/new-products,https://www.vapeclub.co.uk/vape-kits/pixl/,https://www.vapestore.co.uk/,,3010000
royal mail tracked 24,"Informational, Transactional",12100,69,0.52,0.03,0,8,0,0,0,,https://vapeuk.co.uk/royal-mail-tracked-24-guidelines,,,,140000000
vampire vape,"Commercial, Navigational",12100,28,0.00,0.00,0,18,4,8,9,,https://vapeuk.co.uk/e-liquids/vampire-vape-e-liquids,https://www.vapeclub.co.uk/e-liquids/vampire-vape/,https://www.vapestore.co.uk/collections/brands-vampire-vape,https://www.vapeshop.co.uk/collections/vampire-vape,3360000
vape liquid,"Commercial, Informational",12100,34,0.00,0.00,0,1,4,9,14,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/collections/new-eliquid,10
vape store,Commercial,12100,91,0.00,0.00,0,5,3,1,10,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,132000000
vuse,"Navigational, Transactional",12100,25,1.80,0.01,0,35,27,0,10,,https://vapeuk.co.uk/vendors/vuse,https://www.vapeclub.co.uk/vape-kits/vuse/,,https://www.vapeshop.co.uk/collections/vuse,10
88vape,Navigational,9900,16,0.00,0.00,0,0,7,11,0,,,https://www.vapeclub.co.uk/e-liquids/88vape/,https://www.vapestore.co.uk/collections/brands-88vape-eliquid,,7
cart,Informational,9900,57,1.46,1.00,0,0,45,0,0,,,https://www.vapeclub.co.uk/cart/,,,2450000000
cigarette electronic cigarette,"Commercial, Informational",9900,80,0.00,0.00,0,22,0,0,0,,https://vapeuk.co.uk/,,,,237000000
cigarettes and e cigarettes,Informational,9900,78,0.00,0.00,0,40,0,0,0,,https://vapeuk.co.uk/vape-kits,,,,107000000
crystal vape,Informational,9900,18,0.00,0.00,0,4,2,5,10,,https://vapeuk.co.uk/vendors/ske,https://www.vapeclub.co.uk/vape-kits/crystal/,https://www.vapestore.co.uk/collections/brands-ske-crystal-bar-crystal-plus,https://www.vapeshop.co.uk/collections/disposable-vape-kits,21000000
disposable vape ban,Informational,9900,31,0.00,0.00,0,0,39,0,0,,,https://www.vapeclub.co.uk/how-to-vape-guide/disposable-vape-ban-2025,,,1500000
disposable vapes,"Informational, Transactional",9900,42,0.00,0.00,0,5,4,12,8,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeclub.co.uk/disposable-vape/,https://www.vapestore.co.uk/collections/disposable-vape,https://www.vapeshop.co.uk/collections/disposable-vape-kits,17900000
hayati,Navigational,9900,14,0.00,0.08,0,6,4,0,5,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-refill-containers,https://www.vapeclub.co.uk/vape-kits/hayati-pods/,,https://www.vapeshop.co.uk/collections/hayati,10
juul,Navigational,9900,59,0.00,0.00,0,0,0,46,24,,,,https://www.vapestore.co.uk/collections/brands-juul,https://www.vapeshop.co.uk/collections/juul,13600000
líquids,Informational,9900,19,3.49,0.01,0,0,14,0,0,,,https://www.vapeclub.co.uk/e-liquids/,,,10
passion full,"Informational, Transactional",9900,30,0.77,0.97,0,0,18,0,0,,,https://www.vapeclub.co.uk/e-liquids/dinner-lady/fruit-full-bar-salts/mango-passion-dinner-lady-fruit-full-nic-salt-e-liquid,,,10
pax,"Commercial, Informational",9900,53,0.00,0.00,0,0,0,0,55,,,,,https://www.vapeshop.co.uk/collections/pax,128000000
proud mary,"Commercial, Informational",9900,39,0.00,0.02,0,0,86,0,0,,,https://www.vapeclub.co.uk/vape-pods/lost-mary-pods/,,,10
refillable vape,Commercial,9900,22,0.00,0.00,0,4,1,2,37,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeclub.co.uk/vape-kits/refillable-pods/,https://www.vapestore.co.uk/collections/vape-kits-mods-pod-vape-kits-refillable-pod-kits,https://www.vapeshop.co.uk/collections/refillable-vape-kits?page=3,26800000
vamp vamp,Informational,9900,42,0.00,0.00,0,0,69,0,0,,,https://www.vapeclub.co.uk/e-liquids/vampire-vape/vamp-toes,,,28500000
vape club,"Commercial, Navigational",9900,34,0.00,0.00,0,0,1,0,0,,,https://www.vapeclub.co.uk/,,,6
vape juice,Commercial,9900,47,0.00,0.00,0,1,3,4,27,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/e-liquids/,https://www.vapestore.co.uk/collections/e-liquid,https://www.vapeshop.co.uk/collections/12mg-eliquid,10
vapeuk,"Commercial, Navigational",9900,100,0.00,0.00,0,1,2,7,26,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,97900000
cbd vape,Commercial,8100,61,0.00,0.00,0,36,0,28,0,,https://vapeuk.co.uk/vaping-cbd-oil-e-liquid,,https://www.vapestore.co.uk/,,42800000
disposable vapes ban,Informational,8100,47,0.00,0.00,0,55,43,0,0,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeclub.co.uk/how-to-vape-guide/disposable-vape-ban-2025,,,1720000
dojos,Navigational,8100,70,2.06,0.13,0,0,87,0,0,,,https://www.vapeclub.co.uk/vape-kits/vaporesso/vaporesso-dojo-blast-6000-vape-kit,,,34800000
e cigarettes and cigarettes,Informational,8100,84,0.00,0.00,0,54,0,0,0,,https://vapeuk.co.uk/vape-kits,,,,103000000
e elixir,Informational,8100,26,2.50,0.16,0,0,8,0,0,,,https://www.vapeclub.co.uk/e-liquids/doozy-vape-co/doozy-legends/doozy-legends-golden-elixir-e-liquid-100ml,,,10
electronic cigarette,Informational,8100,59,0.00,0.00,0,12,0,0,95,,https://vapeuk.co.uk/,,,https://www.vapeshop.co.uk/,10
electronique cigarette,Commercial,8100,82,0.00,0.00,0,22,0,48,0,,https://vapeuk.co.uk/vape-kits,,https://www.vapestore.co.uk/collections/vape-kits-free-e-liquid-bundles,,681000000
elfbar,Navigational,8100,46,0.00,0.00,0,4,6,13,7,,https://vapeuk.co.uk/vendors/elf-bar,https://www.vapeclub.co.uk/disposable-vape/guides/why-are-elf-bars-so-popular,https://www.vapestore.co.uk/collections/brands-elf-bar-vape,https://www.vapeshop.co.uk/collections/elf-bar,7740000
elux liquid,"Commercial, Informational",8100,21,1.53,0.63,0,11,6,9,60,,https://vapeuk.co.uk/e-liquids/elux-nic-salts/elux-legend-nic-salt-e-liquids,https://www.vapeclub.co.uk/e-liquids/elux/,https://www.vapestore.co.uk/collections/brands-elux-disposables-legend-eliquid,https://www.vapeshop.co.uk/collections/elux-legend-nic-salt-eliquids,1750000
geek bar,Navigational,8100,19,0.69,0.00,0,15,0,0,0,,https://vapeuk.co.uk/geek-bar-disposable-pod-kit,,,,68900000
hayati vape,Informational,8100,16,0.00,0.00,0,8,14,13,1,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,https://www.vapeclub.co.uk/vape-kits/hayati-pods/,https://www.vapestore.co.uk/collections/brands-hayati-prefilled-pods,https://www.vapeshop.co.uk/collections/hayati,10
honeydew honeydew,Informational,8100,46,0.00,0.10,0,0,31,0,0,,,https://www.vapeclub.co.uk/e-liquids/honeydew/,,,18700000
liquid,"Commercial, Informational",8100,58,3.49,0.01,0,40,77,30,36,,https://vapeuk.co.uk/e-liquids/vape-uk-e-liquids,https://www.vapeclub.co.uk/e-liquids/brands/,https://www.vapestore.co.uk/collections/e-liquid,https://www.vapeshop.co.uk/collections/new-eliquid,1200000000
next uk login,"Navigational, Transactional",8100,53,0.01,0.00,0,84,0,0,0,,https://vapeuk.co.uk/,,,,4470000000
nicotine free vape,Informational,8100,18,0.00,0.00,0,7,26,0,64,,https://vapeuk.co.uk/ske-bar-600-zero-nicotine-prefilled-pod-kit,https://www.vapeclub.co.uk/,,https://www.vapeshop.co.uk/collections/0mg,10
oxva,Navigational,8100,28,0.00,0.00,0,2,14,4,0,,https://vapeuk.co.uk/vape-kits/oxva-vape-kits,https://www.vapeclub.co.uk/vape-kits/oxva/,https://www.vapestore.co.uk/collections/brands-oxva-oxva-vape-kits,,10
oxva vape,Informational,8100,12,0.00,0.00,0,8,7,1,25,,https://vapeuk.co.uk/vape-kits/oxva-vape-kits,https://www.vapeclub.co.uk/vape-kits/oxva/,https://www.vapestore.co.uk/collections/brands-oxva-oxva-vape-kits,https://www.vapeshop.co.uk/collections/oxva,10
oxva xlim pro 2,"Commercial, Informational",8100,9,0.00,0.00,0,1,4,6,13,,https://vapeuk.co.uk/oxva-xlim-pro-2-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/oxva/oxva-xlim-pro-2-vape-kit,https://www.vapestore.co.uk/products/oxva-xlim-pro-2-vape-kit-30w,https://www.vapeshop.co.uk/products/oxva-xlim-pro-2-vape-kit,10
salt rock,Navigational,8100,44,0.49,1.00,0,88,0,0,0,,https://vapeuk.co.uk/e-liquids/nicotine-salt-e-liquids,,,,590000000
terea,Informational,8100,15,1.64,0.40,0,0,0,0,28,,,,,https://www.vapeshop.co.uk/pages/iqos-heets,10
tobacco shop near me,Transactional,8100,52,0.00,0.00,0,0,0,0,76,,,,,https://www.vapeshop.co.uk/,163000000
vape ban,Informational,8100,31,0.00,0.00,0,90,0,0,0,,https://vapeuk.co.uk/blog/disposable-vape-ban-update,,,,10
vape shops,Commercial,8100,95,0.00,0.00,0,4,5,1,2,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,33700000
vaporesso pods,"Commercial, Informational",8100,14,0.00,0.00,0,7,3,9,15,,https://vapeuk.co.uk/vaporesso-xros-corex-2-0-replacement-pods,https://www.vapeclub.co.uk/vape-pods/vaporesso/,https://www.vapestore.co.uk/collections/brands-vaporesso-tanks-and-pods,https://www.vapeshop.co.uk/collections/vaporesso-vape-pods,7100000
vaporesso xros 4,"Commercial, Informational",8100,14,0.00,0.00,0,1,5,10,32,,https://vapeuk.co.uk/vaporesso-xros-4-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/vaporesso/xros-4-vape-kit-vaporesso,https://www.vapestore.co.uk/products/vaporesso-xros-4-mini-kit-1000mah,https://www.vapeshop.co.uk/products/vaporesso-xros-4-vape-kit,2360000
18650 battery,Commercial,6600,22,0.35,1.00,0,0,15,0,0,,,https://www.vapeclub.co.uk/vape-batteries/18650-size/,,,12800000
clearpay uk,Navigational,6600,39,1.59,0.05,0,40,0,61,0,,https://vapeuk.co.uk/,,https://www.vapestore.co.uk/,,7
crystal bar,"Commercial, Navigational",6600,28,0.00,0.01,0,3,2,7,0,,https://vapeuk.co.uk/ske-crystal-bar-600-pro-prefilled-pod-kit,https://www.vapeclub.co.uk/disposable-vape/crystal-bar/,https://www.vapestore.co.uk/collections/brands-ske-crystal-bar-crystal-plus,,363000000
e cigarette,Informational,6600,56,0.00,0.00,0,23,90,0,0,,https://vapeuk.co.uk/vape-kits,https://www.vapeclub.co.uk/,,,10
electronic cigarettes juice,"Commercial, Informational",6600,48,0.00,0.00,0,2,9,8,0,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/e-liquid,,181000000
geekvape,Navigational,6600,26,0.00,0.00,0,2,11,7,16,,https://vapeuk.co.uk/vendors/geekvape,https://www.vapeclub.co.uk/vape-pods/geekvape/,https://www.vapestore.co.uk/collections/brands-geekvape,https://www.vapeshop.co.uk/collections/geekvape-vape-kits,8980000
indica vs sativa,"Commercial, Informational",6600,22,0.00,0.00,0,93,0,0,0,,https://vapeuk.co.uk/cannabis-sativa-vs-cannabis-indica,,,,10
ivg vape,Navigational,6600,24,0.00,0.00,0,2,5,14,6,,https://vapeuk.co.uk/vendors/i-vg,https://www.vapeclub.co.uk/vape-pods/ivg-vape/,https://www.vapestore.co.uk/collections/brands-ivg-e-liquid,https://www.vapeshop.co.uk/products/ivg-air-4-in-1-vape-kit,2400000
next home near me,"Navigational, Transactional",6600,57,2.75,0.15,0,79,0,0,0,,https://vapeuk.co.uk/,,,,7960000000
plus ultrs,Informational,6600,51,0.29,0.04,0,49,0,0,0,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,,,,2630000000
relx,Navigational,6600,44,0.00,0.01,0,55,25,0,13,,https://vapeuk.co.uk/vendors/relx,https://www.vapeclub.co.uk/vape-pods/relx/relx-infinity-pod-vape-device,,https://www.vapeshop.co.uk/collections/relx-vapes,63500000
snuss,Informational,6600,46,0.00,0.00,0,0,0,72,0,,,,https://www.vapestore.co.uk/collections/nicotine-pouches,,38800000
tidal vape,Navigational,6600,20,0.00,0.00,0,0,28,0,0,,,https://www.vapeclub.co.uk/,,,9
vape kits,Commercial,6600,42,0.00,0.00,0,2,6,9,5,,https://vapeuk.co.uk/vape-kits,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/collections/vape-kits,66400000
vaperesso,Navigational,6600,19,0.00,0.00,0,2,4,6,9,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeclub.co.uk/vape-pods/vaporesso/,https://www.vapestore.co.uk/collections/brands-vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,10
vaping,Informational,6600,57,0.00,0.00,0,23,0,0,0,,https://vapeuk.co.uk/,,,,10
vaporesso xros 3,Informational,6600,9,0.00,0.00,0,10,3,1,12,,https://vapeuk.co.uk/vaporesso-xros-3-mini-pod-kit,https://www.vapeclub.co.uk/vape-pods/vaporesso/vaporesso-xros-3-vape-kit,https://www.vapestore.co.uk/products/vaporesso-xros-3-pod-kit,https://www.vapeshop.co.uk/products/vaporesso-xros-3-vape-kit,10
avalanche vapes,Navigational,5400,30,0.00,0.00,0,0,8,0,0,,,https://www.vapeclub.co.uk/e-liquids/doozy-vape-co/avalanche-10ml,,,4
blu vape,Navigational,5400,37,0.00,0.00,0,0,9,0,18,,,https://www.vapeclub.co.uk/vape-pods/blu/,,https://www.vapeshop.co.uk/collections/blu-bar,6290000
blue raspberry,"Informational, Transactional",5400,38,0.00,0.14,0,42,0,0,0,,https://vapeuk.co.uk/vape-uk-blue-raspberry,,,,228000000
c & w berry ltd,"Commercial, Navigational",5400,40,0.00,0.02,0,38,0,0,0,,https://vapeuk.co.uk/,,,,50700000
cbd vape pen,Commercial,5400,51,0.00,0.00,0,0,0,64,0,,,,https://www.vapestore.co.uk/,,0
croxley uk,Informational,5400,28,0.00,0.07,0,0,65,0,0,,,https://www.vapeclub.co.uk/,,,541000
dinner ladies,Informational,5400,53,0.54,0.01,0,0,73,0,0,,,https://www.vapeclub.co.uk/,,,351000000
e liquid,"Commercial, Informational",5400,63,0.00,0.00,0,6,4,16,0,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/e-liquid,,1090000000
fogstar,Navigational,5400,24,1.20,1.00,0,0,0,25,0,,,,https://www.vapestore.co.uk/collections/fogstar-battery,,303000
heated tobacco,Informational,5400,45,0.00,0.00,0,59,0,0,55,,https://vapeuk.co.uk/blog/what-is-heated-tobacco,,,https://www.vapeshop.co.uk/collections/iqos-kits,84900000
ivg air pods,"Commercial, Informational",5400,13,0.00,1.00,0,6,14,5,90,,https://vapeuk.co.uk/ivg-air-4-in-1-prefilled-vape-pods,https://www.vapeclub.co.uk/vape-pods/ivg-vape/ivg-air/,https://www.vapestore.co.uk/collections/brands-ivg-ivg-air,https://www.vapeshop.co.uk/,1170000
liquid gold,"Informational, Transactional",5400,28,0.50,0.45,0,73,44,51,0,,https://vapeuk.co.uk/e-liquids/gold-bar-salts-nic-salt-e-liquids,https://www.vapeclub.co.uk/e-liquids/six-licks/liquid-gold-100ml,https://www.vapestore.co.uk/collections/brands-vape-gold-gold-bar-eliquid,,826000000
liquid london,Navigational,5400,37,0.33,1.00,0,79,49,60,0,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,,653000000
lost mary bm6000 refill,"Commercial, Informational",5400,10,1.52,0.00,0,4,1,7,20,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pods-refill-container,https://www.vapeclub.co.uk/vape-pods/lost-mary-pods/bm6000-refill-packs/,https://www.vapestore.co.uk/collections/brands-lost-mary-bm6000-prefilled-vape-pods,https://www.vapeshop.co.uk/products/blueberry-lost-mary-bm6000-refill-pack,10
lost mary bm6000 refill pods,"Commercial, Informational",5400,10,0.00,0.00,0,5,1,6,11,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pods-refill-container,https://www.vapeclub.co.uk/vape-pods/lost-mary-pods/bm6000-refill-packs/,https://www.vapestore.co.uk/collections/brands-lost-mary-bm6000-prefilled-vape-pods,https://www.vapeshop.co.uk/products/blueberry-lost-mary-bm6000-refill-pack,10
next online shopping,Navigational,5400,53,0.52,0.86,0,0,24,0,0,,,https://www.vapeclub.co.uk/,,,7480000000
next store near me,"Navigational, Transactional",5400,53,2.43,0.03,0,0,38,0,0,,,https://www.vapeclub.co.uk/,,,6060000000
oxva xlim pro,Commercial,5400,33,0.33,0.10,0,7,2,10,16,,https://vapeuk.co.uk/oxva-xlim-v2-and-oxva-xlim-pro-pod-kit-review,https://www.vapeclub.co.uk/vape-pods/oxva/oxva-xlim-pro-vape-kit,https://www.vapestore.co.uk/products/oxva-xlim-pro-pod-kit-30w,https://www.vapeshop.co.uk/products/oxva-xlim-pro-2-vape-kit,2300000
pablo snus,Commercial,5400,9,0.00,0.00,0,100,68,88,0,,https://vapeuk.co.uk/pablo-nicotine-pouches,https://www.vapeclub.co.uk/nicotine-pouches/pablo/,https://www.vapestore.co.uk/collections/nicotine-pouches-pablo,,1120000
peppermint capsules,"Commercial, Informational",5400,37,0.40,1.00,0,0,82,0,0,,,https://www.vapeclub.co.uk/vape-pods/lost-mary-pods/,,,217000000
